riskType,id,openDate,closeDate,optionSymbol,symbol,fillPrice,initialAsk,maxPrice,preTradeBalance,tradeAmount,pl,postTradeBalance,lastPrice,finalAmount,status,quantity,trim1Price,trim1Quantity,trim1PriceFinal,trim2Price,trim2Quantity,trim2PriceFinal,trimStatus,stopPriceFinal
Lotto,153909664732749,2024-03-25,2024-03-25 07:00:00,SPY240325C0051700,SPY,1.0,1.0,1.81,13600.0,600.0,1152,14752.0,0.0,0.0,5,6,1.7,3,1.7,0.0,0,0.0,1,1.7
Base,269631801276555,2024-03-26,2024-03-26 02:00:00,WMT240326C0048300,WMT,1.15,1.15,3.09,14752.0,575.0,942,15694.0,0.0,0.0,5,5,1.49,3,1.49,1.95,2,1.95,2,1.95
Vision,103536084459669,2024-03-27,2024-03-27 04:00:00,SPY240318C0054800,SPY,1.26,1.26,3.41,15694.0,630.0,-630,15064.0,0.0,0.0,5,5,0.0,0,0.0,0.0,0,0.0,0,3.35
Vision,428525005603684,2024-03-28,2024-03-28 07:00:00,SPY240321C0049700,SPY,0.45,0.45,0.98,15064.0,630.0,663,15727.0,0.0,0.0,5,14,0.0,0,0.0,0.0,0,0.0,0,1.21
Base,814145018455738,2024-03-29,2024-03-29 03:00:00,WMT240329P0041600,WMT,1.52,1.52,1.62,15727.0,608.0,823,16550.0,0.0,0.0,5,4,1.98,2,0.0,2.58,2,0.0,0,0.0
Vision,851517149536450,2024-04-01,2024-04-01 07:00:00,NKE240401C0048600,NKE,1.62,1.62,4.62,16550.0,648.0,1172,17722.0,0.0,0.0,5,4,0.0,0,0.0,0.0,0,0.0,0,3.03
Vision,567090214155530,2024-04-02,2024-04-02 06:00:00,XOM240402C0052800,XOM,0.26,0.26,0.27,17722.0,754.0,1347,19069.0,0.0,0.0,5,29,0.0,0,0.0,0.0,0,0.0,0,0.17
Vision,276124456954972,2024-04-03,2024-04-03 05:00:00,AXP240403C0059100,AXP,1.92,1.92,5.1,19069.0,768.0,811,19880.0,0.0,0.0,5,4,0.0,0,0.0,0.0,0,0.0,0,3.58
Vision,384078764189218,2024-04-04,2024-04-04 07:00:00,QQQ240404C0057300,QQQ,1.66,1.66,3.46,19880.0,830.0,1217,21097.0,0.0,0.0,5,5,0.0,0,0.0,0.0,0,0.0,0,2.17
Base,818294534428935,2024-04-05,2024-04-05 03:00:00,NKE240405P0032200,NKE,0.16,0.16,0.43,21097.0,880.0,1609,22706.0,0.0,0.0,5,55,0.21,28,0.21,0.27,27,0.27,2,0.27
Lotto,235247238349880,2024-04-08,2024-04-08 05:00:00,SPY240406C0052900,SPY,1.47,1.47,2.21,22706.0,882.0,1108,23814.0,0.0,0.0,5,6,2.5,3,0.0,0.0,0,0.0,0,0.0
Base,729154111125114,2024-04-09,2024-04-09 01:00:00,SPY240409C0035100,SPY,0.51,0.51,0.99,23814.0,1020.0,1899,25713.0,0.0,0.0,5,20,0.66,10,0.66,0.87,10,0.87,2,0.87
Vision,709666323129296,2024-04-10,2024-04-10 06:00:00,SPY240410C0058300,SPY,0.22,0.22,0.57,25713.0,1078.0,-1078,24635.0,0.0,0.0,5,49,0.0,0,0.0,0.0,0,0.0,0,-0.02
Vision,820674048469104,2024-04-11,2024-04-11 04:00:00,QQQ240411C0032600,QQQ,0.55,0.55,0.86,24635.0,1045.0,1638,26273.0,0.0,0.0,5,19,0.0,0,0.0,0.0,0,0.0,0,0.69
Vision,616738170679749,2024-04-12,2024-04-12 04:00:00,HPQ240412P0034200,HPQ,0.93,0.93,1.44,26273.0,1116.0,-1116,25157.0,0.0,0.0,5,12,0.0,0,0.0,0.0,0,0.0,0,0.23
Vision,269041185652082,2024-04-15,2024-04-15 05:00:00,AMD240415C0032600,AMD,0.33,0.33,0.55,25157.0,1056.0,2019,27176.0,0.0,0.0,5,32,0.0,0,0.0,0.0,0,0.0,0,0.47
Lotto,326058849532361,2024-04-16,2024-04-16 04:00:00,NKE240416C0038300,NKE,0.33,0.33,0.93,27176.0,1155.0,-1155,26021.0,0.0,0.0,5,35,0.56,18,0.56,0.0,0,0.0,1,0.56
Lotto,383114996114460,2024-04-17,2024-04-17 07:00:00,SPY240424P0059600,SPY,1.38,1.38,3.02,26021.0,1104.0,1635,27656.0,0.0,0.0,5,8,2.35,4,2.35,0.0,0,0.0,1,2.35
Lotto,325687548990005,2024-04-18,2024-04-18 06:00:00,SPY240427P0035200,SPY,1.13,1.13,3.15,27656.0,1130.0,1191,28847.0,0.0,0.0,5,10,1.92,5,1.92,0.0,0,0.0,1,1.92
Base,844908918959595,2024-04-19,2024-04-19 02:00:00,SPY240501P0037800,SPY,0.1,0.1,0.15,28847.0,1210.0,2417,31264.0,0.0,0.0,5,121,0.13,61,0.13,0.17,60,0.0,1,0.13
Lotto,815560595327714,2024-04-22,2024-04-22 02:00:00,SPY240503C0045900,SPY,1.75,1.75,4.84,31264.0,1400.0,2109,33373.0,0.0,0.0,5,8,2.98,4,2.98,0.0,0,0.0,1,2.98
Base,362410676058085,2024-04-23,2024-04-23 03:00:00,SPY240506C0049900,SPY,0.8,0.8,2.03,33373.0,1440.0,2463,35836.0,0.0,0.0,5,18,1.04,9,1.04,1.36,9,1.36,2,1.36
Lotto,896385896072092,2024-04-24,2024-04-24 06:00:00,IWM240424C0037700,IWM,1.98,1.98,5.59,35836.0,1584.0,2845,38681.0,0.0,0.0,5,8,3.37,4,3.37,0.0,0,0.0,1,3.37
Vision,795944908807316,2024-04-25,2024-04-25 02:00:00,IWM240425C0051700,IWM,1.35,1.35,2.19,38681.0,1620.0,2890,41571.0,0.0,0.0,5,12,0.0,0,0.0,0.0,0,0.0,0,2.0
Vision,622945897265468,2024-04-26,2024-04-26 05:00:00,NKE240426C0032000,NKE,0.98,0.98,2.72,41571.0,1764.0,2003,43574.0,0.0,0.0,5,18,0.0,0,0.0,0.0,0,0.0,0,0.95
Lotto,195051518151701,2024-04-29,2024-04-29 04:00:00,SPY240516P0031400,SPY,1.55,1.55,3.65,43574.0,1860.0,2755,46329.0,0.0,0.0,5,12,2.63,6,2.63,0.0,0,0.0,1,2.63
Lotto,433865652056703,2024-04-30,2024-04-30 04:00:00,MCD240430P0059200,MCD,1.28,1.28,2.66,46329.0,1920.0,3169,49498.0,0.0,0.0,5,15,2.18,8,2.18,0.0,0,0.0,1,2.18
Vision,462504496052999,2024-05-01,2024-05-01 07:00:00,SPY240501P0031200,SPY,1.74,1.74,2.66,49498.0,2088.0,2607,52105.0,0.0,0.0,5,12,0.0,0,0.0,0.0,0,0.0,0,1.26
Base,888335728803618,2024-05-02,2024-05-02 02:00:00,WMT240502P0055000,WMT,0.69,0.69,1.99,52105.0,2208.0,4137,56242.0,0.0,0.0,5,32,0.9,16,0.9,1.17,16,1.17,2,1.17
Base,739439682232442,2024-05-03,2024-05-03 04:00:00,AMD240503C0048800,AMD,1.57,1.57,2.83,56242.0,2355.0,3467,59709.0,0.0,0.0,5,15,2.04,8,2.04,2.67,7,2.67,2,2.67
Lotto,962759052024495,2024-05-06,2024-05-06 04:00:00,SPY240529C0042700,SPY,1.01,1.01,1.04,59709.0,2525.0,2646,62355.0,0.0,0.0,5,25,1.72,13,0.0,0.0,0,0.0,0,0.0
Vision,596478727374713,2024-05-07,2024-05-07 01:00:00,LUV240507C0042700,LUV,1.06,1.06,1.82,62355.0,2650.0,-2650,59705.0,0.0,0.0,5,25,0.0,0,0.0,0.0,0,0.0,0,0.22
Base,268647506532995,2024-05-08,2024-05-08 02:00:00,SPX240508P0059800,SPX,0.82,0.82,1.25,59705.0,2542.0,-2542,57163.0,0.0,0.0,5,31,1.07,16,1.07,1.39,15,0.0,1,1.07
Base,895855868037566,2024-05-09,2024-05-09 05:00:00,SPY240609C0054600,SPY,1.27,1.27,2.96,57163.0,2413.0,3683,60846.0,0.0,0.0,5,19,1.65,10,1.65,2.16,9,2.16,2,2.16
Vision,878780278149119,2024-05-10,2024-05-10 05:00:00,SPY240613P0058000,SPY,1.52,1.52,3.45,60846.0,2584.0,-2584,58262.0,0.0,0.0,5,17,0.0,0,0.0,0.0,0,0.0,0,-0.33
Vision,455704624791652,2024-05-13,2024-05-13 03:00:00,BAC240513C0031200,BAC,0.88,0.88,2.27,58262.0,2464.0,-2464,55798.0,0.0,0.0,5,28,0.0,0,0.0,0.0,0,0.0,0,1.54
Base,846745471719952,2024-05-14,2024-05-14 05:00:00,SPY240620C0044700,SPY,0.63,0.63,1.5,55798.0,2331.0,2988,58786.0,0.0,0.0,5,37,0.82,19,0.82,1.07,18,1.07,2,1.07
Base,897201712983438,2024-05-15,2024-05-15 06:00:00,SPY240625C0046500,SPY,0.99,0.99,1.27,58786.0,2475.0,3498,62284.0,0.0,0.0,5,25,1.29,13,0.0,1.68,12,0.0,0,0.0
Vision,314030204505428,2024-05-16,2024-05-16 06:00:00,AXP240516C0054700,AXP,1.68,1.68,3.71,62284.0,2688.0,-2688,59596.0,0.0,0.0,5,16,0.0,0,0.0,0.0,0,0.0,0,1.38
Vision,766835054341930,2024-05-17,2024-05-17 02:00:00,SPY240704C0037800,SPY,1.74,1.74,2.7,59596.0,2436.0,-2436,57160.0,0.0,0.0,5,14,0.0,0,0.0,0.0,0,0.0,0,0.85
Lotto,315122547347615,2024-05-20,2024-05-20 07:00:00,SPY240706P0032200,SPY,0.64,0.64,1.01,57160.0,2432.0,-2432,54728.0,0.0,0.0,5,38,1.09,19,0.0,0.0,0,0.0,0,0.0
Vision,466483061828793,2024-05-21,2024-05-21 03:00:00,MCD240521C0030000,MCD,1.41,1.41,2.75,54728.0,2256.0,3130,57858.0,0.0,0.0,5,16,0.0,0,0.0,0.0,0,0.0,0,2.08
Base,542351174852582,2024-05-22,2024-05-22 02:00:00,QQQ240522C0038800,QQQ,0.1,0.1,0.21,57858.0,2430.0,4369,62227.0,0.0,0.0,5,243,0.13,122,0.13,0.17,121,0.17,2,0.17
Base,541574235738692,2024-05-23,2024-05-23 02:00:00,SPY240717P0041000,SPY,1.19,1.19,1.73,62227.0,2618.0,-2618,59609.0,0.0,0.0,5,22,1.55,11,1.55,2.02,11,0.0,1,1.55
Vision,303389107898426,2024-05-24,2024-05-24 05:00:00,WMT240524C0033500,WMT,0.43,0.43,0.55,59609.0,2494.0,4479,64088.0,0.0,0.0,5,58,0.0,0,0.0,0.0,0,0.0,0,0.16
Base,682408066775157,2024-05-27,2024-05-27 01:00:00,AMD240527P0031200,AMD,0.71,0.71,1.63,64088.0,2698.0,3810,67898.0,0.0,0.0,5,38,0.92,19,0.92,1.21,19,1.21,2,1.21
Lotto,741133768001753,2024-05-28,2024-05-28 03:00:00,SPY240725P0039500,SPY,0.58,0.58,0.75,67898.0,2842.0,4125,72023.0,0.0,0.0,5,49,0.99,25,0.0,0.0,0,0.0,0,0.0
Vision,982126425535389,2024-05-29,2024-05-29 06:00:00,WMT240529C0034400,WMT,0.68,0.68,1.3,72023.0,2992.0,-2992,69031.0,0.0,0.0,5,44,0.0,0,0.0,0.0,0,0.0,0,0.92
Vision,294985941121555,2024-05-30,2024-05-30 06:00:00,AMD240530P0037600,AMD,0.57,0.57,0.84,69031.0,2907.0,5054,74085.0,0.0,0.0,5,51,0.0,0,0.0,0.0,0,0.0,0,1.43
Base,907922645332453,2024-05-31,2024-05-31 06:00:00,SPY240806C0055100,SPY,0.55,0.55,1.55,74085.0,3135.0,-3135,70950.0,0.0,0.0,5,57,0.72,29,0.72,0.94,28,0.94,2,0.94
Lotto,452555123011984,2024-06-03,2024-06-03 01:00:00,QQQ240603P0057600,QQQ,1.64,1.64,4.88,70950.0,2952.0,3778,74728.0,0.0,0.0,5,18,2.79,9,2.79,0.0,0,0.0,1,2.79
Vision,615650642818091,2024-06-04,2024-06-04 05:00:00,SPY240811P0055900,SPY,0.65,0.65,1.1,74728.0,3120.0,5391,80119.0,0.0,0.0,5,48,0.0,0,0.0,0.0,0,0.0,0,1.94
Vision,709185828893618,2024-06-05,2024-06-05 07:00:00,SPY240815C0031200,SPY,1.55,1.55,2.65,80119.0,3410.0,5350,85469.0,0.0,0.0,5,22,0.0,0,0.0,0.0,0,0.0,0,1.19
Lotto,909141238229771,2024-06-06,2024-06-06 04:00:00,LUV240606C0035100,LUV,1.87,1.87,3.23,85469.0,3553.0,6594,92063.0,0.0,0.0,5,19,3.18,10,3.18,0.0,0,0.0,1,3.18
Vision,326390627069696,2024-06-07,2024-06-07 04:00:00,SPY240825C0054000,SPY,0.81,0.81,2.35,92063.0,3888.0,4750,96813.0,0.0,0.0,5,48,0.0,0,0.0,0.0,0,0.0,0,2.34
Base,312300858933877,2024-06-10,2024-06-10 02:00:00,SPY240830P0058900,SPY,1.87,1.87,2.92,96813.0,4114.0,5465,102278.0,0.0,0.0,5,22,2.43,11,2.43,3.18,11,0.0,1,2.43
Lotto,126752421022029,2024-06-11,2024-06-11 06:00:00,SPY240831P0053500,SPY,1.95,1.95,2.63,102278.0,4290.0,7163,109441.0,0.0,0.0,5,22,3.31,11,0.0,0.0,0,0.0,0,0.0
Lotto,399997847950368,2024-06-12,2024-06-12 03:00:00,AMD240612C0055300,AMD,0.13,0.13,0.26,109441.0,4602.0,6488,115929.0,0.0,0.0,5,354,0.22,177,0.22,0.0,0,0.0,1,0.22
Base,735142036540861,2024-06-13,2024-06-13 04:00:00,SPY240908C0050000,SPY,0.8,0.8,1.39,115929.0,4880.0,5110,121039.0,0.0,0.0,5,61,1.04,31,1.04,1.36,30,1.36,2,1.36
Lotto,549917592242753,2024-06-14,2024-06-14 03:00:00,SPY240912P0038100,SPY,0.49,0.49,0.82,121039.0,5096.0,-5096,115943.0,0.0,0.0,5,104,0.83,52,0.0,0.0,0,0.0,0,0.0
Vision,611344768810253,2024-06-17,2024-06-17 02:00:00,SPY240914C0030200,SPY,0.36,0.36,0.63,115943.0,4860.0,7539,123482.0,0.0,0.0,5,135,0.0,0,0.0,0.0,0,0.0,0,0.17
Lotto,260328020920132,2024-06-18,2024-06-18 05:00:00,SPY240917C0036700,SPY,1.39,1.39,1.78,123482.0,5143.0,-5143,118339.0,0.0,0.0,5,37,2.36,19,0.0,0.0,0,0.0,0,0.0
Lotto,360864566002009,2024-06-19,2024-06-19 04:00:00,NKE240619C0058700,NKE,0.73,0.73,1.06,118339.0,4964.0,9209,127548.0,0.0,0.0,5,68,1.24,34,0.0,0.0,0,0.0,0,0.0
Vision,270719898594326,2024-06-20,2024-06-20 06:00:00,SPY240924P0033600,SPY,0.61,0.61,1.7,127548.0,5368.0,-5368,122180.0,0.0,0.0,5,88,0.0,0,0.0,0.0,0,0.0,0,1.59
Lotto,188223940055965,2024-06-21,2024-06-21 04:00:00,SPY240926P0045200,SPY,0.21,0.21,0.39,122180.0,5124.0,-5124,117056.0,0.0,0.0,5,244,0.36,122,0.36,0.0,0,0.0,1,0.36
Vision,195007534396341,2024-06-24,2024-06-24 06:00:00,QQQ240624C0044200,QQQ,0.15,0.15,0.35,117056.0,4920.0,-4920,112136.0,0.0,0.0,5,328,0.0,0,0.0,0.0,0,0.0,0,0.03
Base,701687142440053,2024-06-25,2024-06-25 04:00:00,SPY241003P0035500,SPY,0.4,0.4,1.13,112136.0,4720.0,5532,117668.0,0.0,0.0,5,118,0.52,59,0.52,0.68,59,0.68,2,0.68
Lotto,153246151275459,2024-06-26,2024-06-26 03:00:00,AMD240626C0037600,AMD,0.55,0.55,1.26,117668.0,4950.0,5107,122775.0,0.0,0.0,5,90,0.94,45,0.94,0.0,0,0.0,1,0.94
Vision,827426989046315,2024-06-27,2024-06-27 06:00:00,SPY241009P0035200,SPY,0.26,0.26,0.46,122775.0,5148.0,-5148,117627.0,0.0,0.0,5,198,0.0,0,0.0,0.0,0,0.0,0,0.19
Vision,807752291172520,2024-06-28,2024-06-28 01:00:00,NKE240628C0050200,NKE,1.5,1.5,3.54,117627.0,4950.0,6396,124023.0,0.0,0.0,5,33,0.0,0,0.0,0.0,0,0.0,0,-0.16
Base,190239385941787,2024-07-01,2024-07-01 04:00:00,XOM240701P0055900,XOM,0.62,0.62,1.37,124023.0,5208.0,7916,131939.0,0.0,0.0,5,84,0.81,42,0.81,1.05,42,1.05,2,1.05
Base,698784463187990,2024-07-02,2024-07-02 05:00:00,SPY241021P0056600,SPY,2.0,2.0,3.8,131939.0,5600.0,11095,143034.0,0.0,0.0,5,28,2.6,14,2.6,3.4,14,3.4,2,3.4
Lotto,945527015107347,2024-07-03,2024-07-03 01:00:00,MCD240703P0039500,MCD,0.73,0.73,1.54,143034.0,5986.0,9178,152212.0,0.0,0.0,5,82,1.24,41,1.24,0.0,0,0.0,1,1.24
Vision,460100091956653,2024-07-04,2024-07-04 02:00:00,SPY241028P0051400,SPY,1.79,1.79,3.54,152212.0,6444.0,-6444,145768.0,0.0,0.0,5,36,0.0,0,0.0,0.0,0,0.0,0,1.8
Vision,175343794787468,2024-07-05,2024-07-05 07:00:00,SPY241031P0046100,SPY,0.31,0.31,0.91,145768.0,6107.0,-6107,139661.0,0.0,0.0,5,197,0.0,0,0.0,0.0,0,0.0,0,0.03
Lotto,796121708805428,2024-07-08,2024-07-08 03:00:00,BAC240708P0032200,BAC,0.66,0.66,1.04,139661.0,5874.0,-5874,133787.0,0.0,0.0,5,89,1.12,45,0.0,0.0,0,0.0,0,0.0
Lotto,474727251404039,2024-07-09,2024-07-09 05:00:00,SPY241107P0054400,SPY,0.64,0.64,0.8,133787.0,5632.0,-5632,128155.0,0.0,0.0,5,88,1.09,44,0.0,0.0,0,0.0,0,0.0
Lotto,815573273237493,2024-07-10,2024-07-10 06:00:00,SPY241111P0053100,SPY,1.48,1.48,2.56,128155.0,5328.0,8127,136282.0,0.0,0.0,5,36,2.52,18,2.52,0.0,0,0.0,1,2.52
Vision,793169032493127,2024-07-11,2024-07-11 03:00:00,LUV240711C0053400,LUV,1.09,1.09,2.95,136282.0,5777.0,9178,145460.0,0.0,0.0,5,53,0.0,0,0.0,0.0,0,0.0,0,2.23
Vision,121074775544820,2024-07-12,2024-07-12 03:00:00,SPX240712P0050200,SPX,0.42,0.42,0.67,145460.0,6090.0,-6090,139370.0,0.0,0.0,5,145,0.0,0,0.0,0.0,0,0.0,0,0.91
Base,325638475438031,2024-07-15,2024-07-15 05:00:00,SPY241124P0041800,SPY,0.74,0.74,1.66,139370.0,5846.0,6048,145418.0,0.0,0.0,5,79,0.96,40,0.96,1.26,39,1.26,2,1.26
Lotto,736412740610837,2024-07-16,2024-07-16 02:00:00,SPY241127P0041900,SPY,1.63,1.63,3.17,145418.0,6031.0,8706,154124.0,0.0,0.0,5,37,2.77,19,2.77,0.0,0,0.0,1,2.77
Lotto,192170389642749,2024-07-17,2024-07-17 01:00:00,HPQ240717P0050400,HPQ,0.53,0.53,0.74,154124.0,6466.0,10417,164541.0,0.0,0.0,5,122,0.9,61,0.0,0.0,0,0.0,0,0.0
Vision,707257516523420,2024-07-18,2024-07-18 06:00:00,SPY241203C0044000,SPY,0.76,0.76,2.13,164541.0,6916.0,-6916,157625.0,0.0,0.0,5,91,0.0,0,0.0,0.0,0,0.0,0,0.45
Base,373615399096147,2024-07-19,2024-07-19 01:00:00,MCD240719P0051100,MCD,0.89,0.89,1.74,157625.0,6586.0,11560,169185.0,0.0,0.0,5,74,1.16,37,1.16,1.51,37,1.51,2,1.51
